Group,Weight,Lean_meat_quality,Fat_mass,Moisture_content,Muscle_weight,Power_of_gripping,Running_distance,Swimming_speed,Myofascial_fusion,ID
Control,25.23185731,8.168436648,1.688015429,0.555067795,0.877499215,118.7058569,194.1048871,0.100142226,91.12397209,A1
Control,25.33094675,8.099397551,1.682213654,0.49636043,0.856266134,115.8197141,191.7647355,0.124182692,90.43330475,A2
Control,25.86761249,8.122525886,1.668883177,0.466608815,0.906755741,120.5805026,190.8373419,0.117455734,90.70265481,A3
Control,25.42115252,8.132173521,1.715738263,0.509101254,0.893067462,120.512534,190.5542102,0.10113824,90.4771626,A4
Control,25.43878632,8.198963272,1.68995701,0.468699778,0.867237261,120.2863243,189.3601135,0.106179806,90.46570363,A5
Control,25.9145195,8.164392553,1.640667657,0.483555439,0.915076298,119.754561,191.2099143,0.105733413,91.59488183,A6
Model,2.364537409,5.03759279,2.052410489,0.600229541,0.360878209,84.01562094,96.33893625,0.089685997,52.72863893,A7
Model,21.40988236,5.019953531,2.032650211,0.531631969,0.341666518,88.98603768,92.15493142,0.083793496,52.61770314,A8
Model,20.57074832,5.023335852,2.076113373,0.532479655,0.350345851,95.87155112,89.24407831,0.067878697,51.95321958,A9
Model,24.85076825,5.009628492,2.132504234,0.601022855,0.373116824,89.91663342,81.09768289,0.060762212,52.9504695,A10
Model,24.57431255,5.008564175,2.005448442,0.54860908,0.327760398,83.06661573,99.79013302,0.063606341,52.13660508,A11
Model,24.62956494,5.036070573,1.914541556,0.511171292,0.388662593,96.33926857,81.35755988,0.072311953,51.16526387,A12
Low,21.68593204,5.480776288,1.91588233,0.581769329,0.432061646,107.5455178,118.9923191,0.085150955,60.88149477,A13
Low,25.07569898,5.472046134,1.862626269,0.573898042,0.408875158,90.7805342,124.3454674,0.085076169,60.41378062,A14
Low,26.62739591,5.464227048,1.885472128,0.521907168,0.327337639,101.5089217,119.6912221,0.08332881,61.08848669,A15
Low,24.9823893,5.43437176,1.89719539,0.566434596,0.486566861,96.68901255,130.4395839,0.077966494,60.41270957,A16
Low,24.31463519,5.426011826,2.0021931,0.642227543,0.356967996,90.1392792,137.5005447,0.08152219,61.12635573,A17
Low,22.78333141,5.419034848,1.877402505,0.592575203,0.466997376,90.42666173,120.5648476,0.080878419,60.0754115,A18
Medium,24.56992238,6.905505861,1.767759917,0.507466955,0.644396812,108.5675012,135.8050897,0.09268528,67.50732071,A19
Medium,26.82051997,6.901068936,1.757120112,0.600527407,0.603389492,102.6278199,130.9234193,0.092190025,67.61931869,A20
Medium,20.99157121,6.883538585,1.791133652,0.536013984,0.630162151,100.1351908,159.689888,0.089691177,68.50922829,A21
Medium,25.3491138,6.891958791,1.799314422,0.515379485,0.580028319,119.9832803,152.1555103,0.091243062,66.93554255,A22
Medium,24.51828484,6.888977982,1.803095704,0.540548817,0.608577812,111.6042529,138.746267,0.10920726,66.50674356,A23
Medium,24.95810969,6.953853557,1.77624904,0.542112964,0.587012564,100.4923718,145.6171495,0.095567775,68.90812724,A24
High,25.11176736,7.836590888,1.70538602,0.512768339,0.738455121,113.5961005,175.2486621,0.09954544,86.69307897,A25
High,25.05538681,7.812455301,1.629376297,0.490489516,0.749912051,108.5606372,178.7239732,0.093868392,85.94758106,A26
High,24.95274538,7.748180562,1.748211759,0.524512238,0.829842427,111.3409223,190.7880702,0.097915531,84.26684904,A27
High,24.94305686,7.773584996,1.666387216,0.542569472,0.724507855,115.9418399,177.2914791,0.098040518,82.6434726,A28
High,25.0852053,7.727724212,1.678581553,0.53972913,0.762837936,112.4975885,186.646396,0.100188618,84.01122014,A29
High,25.32359716,7.72696691,1.640458892,0.506553905,0.846094473,111.7524945,183.0460329,0.105200795,84.48920722,A30
