time,group,adhesion_rate
0,Z_RW_CS,100
0,Z_RW_CS,100
0,Z_RW_CS,100
6,Z_RW_CS,94.37
6,Z_RW_CS,95.27
6,Z_RW_CS,95.06
12,Z_RW_CS,87.77
12,Z_RW_CS,87.05
12,Z_RW_CS,87.35
18,Z_RW_CS,80.17
18,Z_RW_CS,80.21
18,Z_RW_CS,81.11
24,Z_RW_CS,73.4
24,Z_RW_CS,73.28
24,Z_RW_CS,70.37
30,Z_RW_CS,69.36
30,Z_RW_CS,68.66
30,Z_RW_CS,67.34
36,Z_RW_CS,60.65
36,Z_RW_CS,61.39
36,Z_RW_CS,61.22
42,Z_RW_CS,60
42,Z_RW_CS,60.65
42,Z_RW_CS,60.36
48,Z_RW_CS,60
48,Z_RW_CS,60.51
48,Z_RW_CS,60.09
0,Normal_CS,100
0,Normal_CS,100
0,Normal_CS,100
6,Normal_CS,100
6,Normal_CS,100
6,Normal_CS,100
12,Normal_CS,90.27
12,Normal_CS,91.11
12,Normal_CS,90.07
18,Normal_CS,86.28
18,Normal_CS,86.43
18,Normal_CS,86.17
24,Normal_CS,80.31
24,Normal_CS,81.2
24,Normal_CS,81.09
30,Normal_CS,74.02
30,Normal_CS,74.05
30,Normal_CS,74.11
36,Normal_CS,74.11
36,Normal_CS,73.26
36,Normal_CS,73.14
42,Normal_CS,73.33
42,Normal_CS,72.52
42,Normal_CS,72.29
48,Normal_CS,72.03
48,Normal_CS,72.13
48,Normal_CS,72
0,Model_CS,100
0,Model_CS,100
0,Model_CS,100
6,Model_CS,100
6,Model_CS,100
6,Model_CS,100
12,Model_CS,100
12,Model_CS,100
12,Model_CS,100
18,Model_CS,90.43
18,Model_CS,90.33
18,Model_CS,93.06
24,Model_CS,87.04
24,Model_CS,85.93
24,Model_CS,85.55
30,Model_CS,85.36
30,Model_CS,84.38
30,Model_CS,85
36,Model_CS,84.33
36,Model_CS,84.58
36,Model_CS,84.21
42,Model_CS,84
42,Model_CS,84.17
42,Model_CS,84.23
48,Model_CS,84
48,Model_CS,84.23
48,Model_CS,84.01
0,High_CS,100
0,High_CS,100
0,High_CS,100
6,High_CS,92.31
6,High_CS,92.28
6,High_CS,92.38
12,High_CS,85.37
12,High_CS,84.18
12,High_CS,84
18,High_CS,80.59
18,High_CS,81.2
18,High_CS,81.88
24,High_CS,79.37
24,High_CS,79.99
24,High_CS,78.52
30,High_CS,70.11
30,High_CS,69.59
30,High_CS,69.34
36,High_CS,65.32
36,High_CS,66.47
36,High_CS,66.04
42,High_CS,64.11
42,High_CS,64.35
42,High_CS,63.79
48,High_CS,63.99
48,High_CS,64.04
48,High_CS,64.03
