Group,Lean meat quality,Muscle weight,Power of gripping,Running distance ,Swimming speed,Myofascial fusion
Control,8.09,0.85,117,194,0.12,91
Control,8.17,0.91,119,200,0.105,90
Control,8.26,0.93,120,195,0.111,90.5
Control,8.01,0.86,110,192,0.109,90.8
Control,8,0.88,115,195,0.104,89.4
Model,4.28,0.21,80,80,0.06,50.2
Model,4.3,0.25,74,82,0.075,51.4
Model,4.07,0.29,71,79,0.063,49.8
Model,4.19,0.3,70,75,0.062,48.9
Model,4.2,0.25,74,80,0.07,50.2
FMT,6.06,0.69,99,141,0.094,70.9
FMT,6.63,0.7,101,150,0.099,76.8
FMT,6.13,0.64,104,152,0.101,78.1
FMT,6.2,0.73,95,157,0.1,79.9
FMT,6.07,0.68,94,129,0.095,75.3
Sig,7.35,0.79,108,170,0.105,80.8
Sig,7,0.74,106,141,0.114,82
Sig,6.98,0.71,107,174,0.101,81.5
Sig,7.01,0.75,107,168,0.099,82.6
Sig,6.93,0.77,103,158,0.1,81.7
DCS,4.55,0.27,76,88,0.066,51.4
DCS,4.62,0.27,75,85,0.068,50
DCS,4.18,0.26,74,80,0.075,51.3
DCS,4.06,0.24,78,83,0.068,48.3
DCS,4.13,0.29,75,80,0.066,48.9
