"","ID","group","Abundance","Gene.Name"
"77","T1","Lac",0.000124922241091068,"Snd1"
"73","N2","Normal",0.000112967940295995,"Snd1"
"76","N1","Normal",0.000107127252143789,"Snd1"
"75","M2","Model",9.8535390701975e-05,"Snd1"
"79","M3","Model",9.82632705238394e-05,"Snd1"
"81","T3","Lac",9.14305963361142e-05,"Snd1"
"74","T2","Lac",9.13750725589816e-05,"Snd1"
"80","N3","Normal",8.95760633390469e-05,"Snd1"
"78","M1","Model",8.82418711755991e-05,"Snd1"
"15","N1","Normal",1.19552549190442e-05,"Krt18"
"16","N2","Normal",9.62335892771114e-06,"Krt18"
"62","N1","Normal",7.37383787268343e-06,"Rgn"
"9","N2","Normal",5.36390531590214e-06,"Epb41l3"
"58","N3","Normal",5.26732497040632e-06,"Rgn"
"22","T1","Lac",4.82538531273193e-06,"Krt8"
"3","T1","Lac",4.72379869411513e-06,"Epb41l3"
"6","N3","Normal",4.15980897471473e-06,"Epb41l3"
"2","N1","Normal",3.95896282104214e-06,"Epb41l3"
"12","T1","Lac",3.6393918866101e-06,"Krt18"
"59","N2","Normal",3.60300613113863e-06,"Rgn"
"57","T1","Lac",3.32534399175226e-06,"Rgn"
"10","T3","Lac",3.29563664834249e-06,"Krt18"
"21","T3","Lac",3.00126106429303e-06,"Krt8"
"4","T3","Lac",2.8108068869707e-06,"Epb41l3"
"11","T2","Lac",2.72106365325475e-06,"Krt18"
"7","T2","Lac",2.68569770027151e-06,"Epb41l3"
"55","T2","Lac",2.60752054039927e-06,"Rgn"
"56","T3","Lac",2.55086604007791e-06,"Rgn"
"13","N3","Normal",2.50201088723345e-06,"Krt18"
"23","N2","Normal",1.5007879763342e-06,"Krt8"
"20","N3","Normal",1.26661366820238e-06,"Krt8"
"19","T2","Lac",1.15019424678917e-06,"Krt8"
"24","N1","Normal",1.1304013481723e-06,"Krt8"
"65","T1","Lac",1.12663201593545e-06,"Slc25a10"
"38","T1","Lac",7.80556755269313e-07,"Pex7"
"43","T3","Lac",5.27431368054954e-07,"Pex7"
"42","T2","Lac",4.55679778287158e-07,"Pex7"
"64","T2","Lac",2.75291055584502e-07,"Slc25a10"
"66","N2","Normal",2.6569483427874e-07,"Slc25a10"
"69","N1","Normal",2.64434053931493e-07,"Slc25a10"
"51","T1","Lac",2.43345366289004e-07,"Plcb3"
"67","N3","Normal",2.09689866867552e-07,"Slc25a10"
"68","T3","Lac",1.95408583868262e-07,"Slc25a10"
"45","N3","Normal",1.80245670354442e-07,"Pex7"
"46","T3","Lac",1.72427214080316e-07,"Plcb3"
"53","N2","Normal",1.43878453952221e-07,"Plcb3"
"50","N1","Normal",1.27984946136189e-07,"Plcb3"
"37","N1","Normal",1.23631654648519e-07,"Pex7"
"41","N2","Normal",1.14310742694094e-07,"Pex7"
"48","N3","Normal",1.13421358445307e-07,"Plcb3"
"47","T2","Lac",1.0524042054886e-07,"Plcb3"
"28","T1","Lac",9.6670139959833e-08,"Nmrk2"
"49","M1","Model",9.37709002348748e-08,"Plcb3"
"29","N2","Normal",9.04139137776042e-08,"Nmrk2"
"54","M3","Model",8.96157803633021e-08,"Plcb3"
"33","T3","Lac",8.67832949982143e-08,"Nmrk2"
"34","N1","Normal",8.36576667793869e-08,"Nmrk2"
"30","T2","Lac",8.13199589604687e-08,"Nmrk2"
"32","N3","Normal",7.25624140974979e-08,"Nmrk2"
"52","M2","Model",5.22084898649696e-08,"Plcb3"
"5","M3","Model",5.43906651621167e-10,"Epb41l3"
"17","M3","Model",5.43906651621167e-10,"Krt18"
"25","M3","Model",5.43906651621167e-10,"Krt8"
"31","M3","Model",5.43906651621167e-10,"Nmrk2"
"44","M3","Model",5.43906651621167e-10,"Pex7"
"60","M3","Model",5.43906651621167e-10,"Rgn"
"70","M3","Model",5.43906651621167e-10,"Slc25a10"
"8","M2","Model",5.31506644894367e-10,"Epb41l3"
"18","M2","Model",5.31506644894367e-10,"Krt18"
"27","M2","Model",5.31506644894367e-10,"Krt8"
"35","M2","Model",5.31506644894367e-10,"Nmrk2"
"40","M2","Model",5.31506644894367e-10,"Pex7"
"63","M2","Model",5.31506644894367e-10,"Rgn"
"71","M2","Model",5.31506644894367e-10,"Slc25a10"
"1","M1","Model",5.04240364175805e-10,"Epb41l3"
"14","M1","Model",5.04240364175805e-10,"Krt18"
"26","M1","Model",5.04240364175805e-10,"Krt8"
"36","M1","Model",5.04240364175805e-10,"Nmrk2"
"39","M1","Model",5.04240364175805e-10,"Pex7"
"61","M1","Model",5.04240364175805e-10,"Rgn"
"72","M1","Model",5.04240364175805e-10,"Slc25a10"
