ID,Control,Model,FMT,L.Johnsonin
NR,1.025,0.58,1.105,1.15
NR,1.072,0.52,0.97,1.12
NR,0.988,0.61,1.03,1.18
NR,1.008,0.57,0.92,1.1
NR,0.9,0.49,1.016,1.14
ENT1,0.93,0.65,1.05,2.546904691
ENT1,1,0.68,1.08,2.869087204
ENT1,1.02,0.62,1.02,2.860713955
ENT1,0.96,0.6,1.06,2.383801955
ENT1,0.99,0.63,1.04,2.409309175
Nmrk2,1.02,0.55,0.85,2.628499561
Nmrk2,0.98,0.5,0.88,2.519955167
Nmrk2,1,0.53,0.82,2.590741569
Nmrk2,1.03,0.52,0.87,2.309703372
Nmrk2,0.97,0.48,0.86,2.39117765
NAD,0.932753955,0.58,1,2.2
NAD,0.964044684,0.63,0.92,2.05
NAD,0.918685372,0.55,1.05,2.3
NAD,0.82737174,0.6,1.31,2.4
NAD,1.017742614,0.5,1.096,2.1
SIRT1,0.883485016,0.4,0.95,2.71197195
SIRT1,1.090082649,0.45,1.22,2.503150006
SIRT1,1.046566244,0.38,1.08,3.035761148
SIRT1,0.846375631,0.42,1.19,2.538073628
SIRT1,1.148825219,0.48,1.1,2.620596809
Pax 7,1.18831507,0.33,1.183,1.95
Pax 7,0.865224094,0.29,1.077,2.1
Pax 7,0.8729515,0.38,1.08,1.8
Pax 7,1.096939671,0.35,0.99,2
Pax 7,0.882687659,0.3,1.085,1.9
Snd1,1.037642553,0.5,1.12,2.8
Snd1,0.890059921,0.55,1,2.6
Snd1,1.029823817,0.48,1.059,1.5
Snd1,1.13263859,0.52,1.05,1.9
Snd1,0.930543214,0.45,1.188,2.55
MyHC,0.850874241,0.2,1.065,2.01
MyHC,1.04393917,0.25,1.177,2.25
MyHC,1.01666735,0.18,1.06,2.01
MyHC,1.063503144,0.22,0.97,2.05
MyHC,1.238314477,0.3,1.008,2.11
Krt18,0.950196755,0.45,1,1.300956514
Krt18,1.192953205,0.55,1.083,1.837990777
Krt18,1.094942081,0.5,1.095,1.176020547
Krt18,1.008755124,0.4,0.99,1.155759404
Krt18,0.877456448,0.48,1.117,1.368653987
RGN,0.964600609,0.5,0.88,1.59
RGN,0.962504871,0.45,1.081,2.03
RGN,0.93563816,0.55,1.066,1.64
RGN,1.007765968,0.6,1.203,1.345
RGN,1.062523145,0.52,1.152,2.005
