"","ID","Index","mean_abundance_index","mean_abundance_ID","prop","value"
"1","CH","AA",50972.7647166667,50000,0.994699016975194,49734.9508487597
"2","CH","BA",52.7546166666667,50000,0.00102947065223791,51.4735326118956
"3","CH","CA",8.69506666666667,50000,0.000169678343208234,8.48391716041168
"4","CH","IBA",44.26705,50000,0.000863841531142108,43.1920765571054
"5","CH","IVA",30.81375,50000,0.000601309483695664,30.0654741847832
"6","CH","PA",129.149566666667,50000,0.00252026641521568,126.013320760784
"7","CH","VA",5.9657,50000,0.000116416599306583,5.82082996532915
"8","GH","AA",53734.2294833333,50000,0.994934907583448,49746.7453791724
"9","GH","BA",54.6857166666667,50000,0.00101255250109728,50.6276250548642
"10","GH","CA",9.60953333333333,50000,0.000177928673228404,8.89643366142018
"11","GH","IBA",45.7217833333333,50000,0.000846577660323762,42.3288830161881
"12","GH","IVA",28.9227833333333,50000,0.000535529904113198,26.7764952056599
"13","GH","PA",133.259966666667,50000,0.00246742149082452,123.371074541226
"14","GH","VA",1.35463333333333,50000,2.50821869647818e-05,1.25410934823909
"15","M2H","AA",34049.8491666667,50000,0.992419549184442,49620.9774592221
"16","M2H","BA",52.0535166666667,50000,0.00151715584086552,75.8577920432759
"17","M2H","CA",9.69603333333333,50000,0.000282601340829552,14.1300670414776
"18","M2H","IBA",42.6361666666667,50000,0.00124267702612053,62.1338513060267
"19","M2H","IVA",27.5299,50000,0.000802388604230267,40.1194302115133
"20","M2H","PA",126.858283333333,50000,0.00369742138180237,184.871069090118
"21","M2H","VA",1.31086666666667,50000,3.82066217094377e-05,1.91033108547189
"22","MH","AA",54100.3627833333,50000,0.994897808385302,49744.8904192651
"23","MH","BA",53.8055,50000,0.00098947532465654,49.473766232827
"24","MH","CA",9.00543333333333,50000,0.000165608610108127,8.28043050540635
"25","MH","IBA",46.2712,50000,0.000850920642727002,42.5460321363501
"26","MH","IVA",29.5760166666667,50000,0.000543898647783168,27.1949323891584
"27","MH","PA",137.528283333333,50000,0.00252912514149495,126.456257074748
"28","MH","VA",1.25956666666667,50000,2.31632479286793e-05,1.15816239643397
"29","TH","AA",56988.6497666667,50000,0.995057269543575,49752.8634771788
"30","TH","BA",52.3147,50000,0.000913447199611308,45.6723599805654
"31","TH","CA",8.65876666666667,50000,0.000151187451399978,7.55937256999888
"32","TH","IBA",45.3845833333333,50000,0.000792443052361179,39.6221526180589
"33","TH","IVA",30.4660166666667,50000,0.00053195559962072,26.597779981036
"34","TH","PA",145.02085,50000,0.00253215423805836,126.607711902918
"35","TH","VA",1.2338,50000,2.15429153733163e-05,1.07714576866582
